gloss_id,gloss_label,iv3gru_occluded_tp,iv3gru_occluded_fp,iv3gru_occluded_fn,iv3gru_occluded_count,iv3gru_nonoccluded_tp,iv3gru_nonoccluded_fp,iv3gru_nonoccluded_fn,iv3gru_nonoccluded_count,iv3gru_combined_tp,iv3gru_combined_fp,iv3gru_combined_fn,iv3gru_combined_count,transformer_occluded_tp,transformer_occluded_fp,transformer_occluded_fn,transformer_occluded_count,transformer_nonoccluded_tp,transformer_nonoccluded_fp,transformer_nonoccluded_fn,transformer_nonoccluded_count,transformer_combined_tp,transformer_combined_fp,transformer_combined_fn,transformer_combined_count
79,ORANGE,3,14,1,4,41,14,32,73,44,14,33,77,4,47,0,4,65,47,8,73,69,47,8,77
80,GRAY,2,11,0,2,63,11,11,74,65,11,11,76,1,15,1,2,66,15,8,74,67,15,9,76
81,PINK,48,32,28,76,0,32,0,0,48,32,28,76,68,49,8,76,0,49,0,0,68,49,8,76
82,VIOLET,18,13,4,22,44,13,7,51,62,13,11,73,19,10,3,22,45,10,6,51,64,10,9,73
83,LIGHT,58,20,8,66,5,20,2,7,63,20,10,73,58,30,8,66,6,30,1,7,64,30,9,73
84,DARK,66,14,7,73,1,14,0,1,67,14,7,74,63,18,10,73,1,18,0,1,64,18,10,74
85,BREAD,62,28,11,73,16,28,2,18,78,28,13,91,70,39,3,73,18,39,0,18,88,39,3,91
86,EGG,17,18,4,21,47,18,21,68,64,18,25,89,18,22,3,21,61,22,7,68,79,22,10,89
87,FISH,10,16,2,12,63,16,17,80,73,16,19,92,11,26,1,12,70,26,10,80,81,26,11,92
88,MEAT,60,19,15,75,12,19,5,17,72,19,20,92,65,18,10,75,17,18,0,17,82,18,10,92
89,CHICKEN,13,20,9,22,55,20,15,70,68,20,24,92,18,16,4,22,61,16,9,70,79,16,13,92
90,SPAGHETTI,67,26,25,92,0,26,0,0,67,26,25,92,85,39,7,92,0,39,0,0,85,39,7,92
91,RICE,28,33,10,38,39,33,11,50,67,33,21,88,36,20,2,38,47,20,3,50,83,20,5,88
92,LONGANISA,14,46,11,25,43,46,21,64,57,46,32,89,23,21,2,25,54,21,10,64,77,21,12,89
93,SHRIMP,28,27,13,41,36,27,12,48,64,27,25,89,34,28,7,41,45,28,3,48,79,28,10,89
94,CRAB,0,22,0,0,79,22,16,95,79,22,16,95,0,13,0,0,87,13,8,95,87,13,8,95
95,HOT,59,24,32,91,1,24,3,4,60,24,35,95,81,68,10,91,4,68,0,4,85,68,10,95
96,COLD,17,10,3,20,65,10,15,80,82,10,18,100,18,16,2,20,74,16,6,80,92,16,8,100
97,JUICE,48,28,17,65,25,28,8,33,73,28,25,98,55,43,10,65,28,43,5,33,83,43,15,98
98,MILK,5,47,1,6,59,47,34,93,64,47,35,99,6,80,0,6,85,80,8,93,91,80,8,99
99,COFFEE,30,18,11,41,42,18,13,55,72,18,24,96,34,27,7,41,51,27,4,55,85,27,11,96
100,TEA,60,27,8,68,24,27,7,31,84,27,15,99,61,19,7,68,26,19,5,31,87,19,12,99
101,BEER,43,15,10,53,34,15,9,43,77,15,19,96,46,23,7,53,40,23,3,43,86,23,10,96
102,WINE,27,28,11,38,27,28,30,57,54,28,41,95,34,26,4,38,50,26,7,57,84,26,11,95
103,SUGAR,24,32,52,76,8,32,14,22,32,32,66,98,71,49,5,76,19,49,3,22,90,49,8,98
104,NO SUGAR,40,17,21,61,19,17,16,35,59,17,37,96,53,41,8,61,28,41,7,35,81,41,15,96
